time_ref,"account","code","country_code","product_type",value,"status"
202306,"Exports","00","AE","Goods",282028909.0,"F"
202306,"Exports","00","AG","Goods",351919.0,"F"
202306,"Exports","00","AI","Goods",84762.0,"F"
202306,"Exports","00","AL","Goods",3463.0,"F"
202306,"Exports","00","AM","Goods",679586.0,"F"
202306,"Exports","00","AO","Goods",464583.0,"F"
202306,"Exports","00","AR","Goods",5943055.0,"F"
202306,"Exports","00","AS","Goods",11622992.0,"F"
202306,"Exports","00","AT","Goods",11202334.0,"F"
202306,"Exports","00","AU","Goods",2272665701.0,"F"
202306,"Exports","00","AW","Goods",362396.0,"F"
202306,"Exports","00","AZ","Goods",5816857.0,"F"
202306,"Exports","00","BB","Goods",8464598.0,"F"
202306,"Exports","00","BD","Goods",177083931.0,"F"
202306,"Exports","00","BE","Goods",94312051.0,"F"
202306,"Exports","00","BF","Goods",36757.0,"F"
202306,"Exports","00","BG","Goods",3697081.0,"F"
202306,"Exports","00","BH","Goods",22724350.0,"F"
202306,"Exports","00","BJ","Goods",507511.0,"F"
202306,"Exports","00","BM","Goods",529761.0,"F"
202306,"Exports","00","BN","Goods",697610.0,"F"
202306,"Exports","00","BO","Goods",254497.0,"F"
202306,"Exports","00","BR","Goods",29068274.0,"F"
202306,"Exports","00","BS","Goods",906550.0,"F"
202306,"Exports","00","BT","Goods",4143.0,"F"
202306,"Exports","00","BW","Goods",11472.0,"F"
202306,"Exports","00","BY","Goods",470416.0,"F"
202306,"Exports","00","BZ","Goods",28287.0,"F"
202306,"Exports","00","CA","Goods",249493033.0,"F"
202306,"Exports","00","CD","Goods",1265093.0,"F"
202306,"Exports","00","CG","Goods",406952.0,"F"
202306,"Exports","00","CH","Goods",25820680.0,"F"
202306,"Exports","00","CI","Goods",4771900.0,"F"
202306,"Exports","00","CK","Goods",38216008.0,"F"
202306,"Exports","00","CL","Goods",76327985.0,"F"
202306,"Exports","00","CM","Goods",12880313.0,"F"
202306,"Exports","00","CN","Goods",5406553165.0,"F"
202306,"Exports","00","CO","Goods",6043420.0,"F"
202306,"Exports","00","CR","Goods",2030680.0,"F"
202306,"Exports","00","CV","Goods",15261.0,"F"
202306,"Exports","00","CW","Goods",353276.0,"F"
202306,"Exports","00","CX","Goods",65981.0,"F"
202306,"Exports","00","CY","Goods",3815466.0,"F"
202306,"Exports","00","CZ","Goods",8423744.0,"F"
202306,"Exports","00","DE","Goods",193395790.0,"F"
202306,"Exports","00","DJ","Goods",1106327.0,"F"
202306,"Exports","00","DK","Goods",42070862.0,"F"
202306,"Exports","00","DO","Goods",8827037.0,"F"
202306,"Exports","00","DZ","Goods",397053820.0,"F"
202306,"Exports","00","EC","Goods",1247166.0,"F"
202306,"Exports","00","EE","Goods",1786001.0,"F"
202306,"Exports","00","EG","Goods",43030230.0,"F"
202306,"Exports","00","ES","Goods",53467022.0,"F"
202306,"Exports","00","ET","Goods",647723.0,"F"
202306,"Exports","00","FI","Goods",3086810.0,"F"
202306,"Exports","00","FJ","Goods",140275559.0,"F"
202306,"Exports","00","FK","Goods",68510.0,"F"
202306,"Exports","00","FM","Goods",1328960.0,"F"
202306,"Exports","00","FO","Goods",242897.0,"F"
202306,"Exports","00","FR","Goods",134005754.0,"F"
202306,"Exports","00","GA","Goods",342310.0,"F"
202306,"Exports","00","GB","Goods",451531125.0,"F"
202306,"Exports","00","GD","Goods",1216406.0,"F"
202306,"Exports","00","GE","Goods",17203651.0,"F"
202306,"Exports","00","GF","Goods",106284.0,"F"
202306,"Exports","00","GH","Goods",5103917.0,"F"
202306,"Exports","00","GI","Goods",2429.0,"F"
202306,"Exports","00","GM","Goods",5917.0,"F"
202306,"Exports","00","GN","Goods",389756.0,"F"
202306,"Exports","00","GP","Goods",1822307.0,"F"
202306,"Exports","00","GQ","Goods",385364.0,"F"
202306,"Exports","00","GR","Goods",23604008.0,"F"
202306,"Exports","00","GS","Goods",24266.0,"F"
202306,"Exports","00","GT","Goods",18798973.0,"F"
202306,"Exports","00","GU","Goods",2768144.0,"F"
202306,"Exports","00","GY","Goods",7249124.0,"F"
202306,"Exports","00","HK","Goods",320900257.0,"F"
202306,"Exports","00","HN","Goods",924839.0,"F"
202306,"Exports","00","HR","Goods",825254.0,"F"
202306,"Exports","00","HU","Goods",1455439.0,"F"
202306,"Exports","00","ID","Goods",454574112.0,"F"
202306,"Exports","00","IE","Goods",26449122.0,"F"
202306,"Exports","00","IL","Goods",7586707.0,"F"
202306,"Exports","00","IN","Goods",128316271.0,"F"
202306,"Exports","00","IQ","Goods",1503668.0,"F"
202306,"Exports","00","IR","Goods",544289.0,"F"
202306,"Exports","00","IS","Goods",788874.0,"F"
202306,"Exports","00","IT","Goods",48153535.0,"F"
202306,"Exports","00","JM","Goods",11355637.0,"F"
202306,"Exports","00","JO","Goods",22540974.0,"F"
202306,"Exports","00","JP","Goods",1168737334.0,"F"
202306,"Exports","00","KE","Goods",325028.0,"F"
202306,"Exports","00","KG","Goods",49899.0,"F"
202306,"Exports","00","KH","Goods",5994804.0,"F"
202306,"Exports","00","KI","Goods",4072619.0,"F"
202306,"Exports","00","KR","Goods",676980586.0,"F"
202306,"Exports","00","KW","Goods",45012797.0,"F"
202306,"Exports","00","KY","Goods",344157.0,"F"
202306,"Exports","00","KZ","Goods",1058183.0,"F"
202306,"Exports","00","LA","Goods",192456.0,"F"
202306,"Exports","00","LB","Goods",226627.0,"F"
202306,"Exports","00","LC","Goods",1634402.0,"F"
202306,"Exports","00","LK","Goods",143772267.0,"F"
202306,"Exports","00","LR","Goods",454090.0,"F"
202306,"Exports","00","LT","Goods",4935063.0,"F"
202306,"Exports","00","LU","Goods",180134.0,"F"
202306,"Exports","00","LV","Goods",2611271.0,"F"
202306,"Exports","00","LY","Goods",29661330.0,"F"
202306,"Exports","00","MA","Goods",13688977.0,"F"
202306,"Exports","00","ME","Goods",22836.0,"F"
202306,"Exports","00","MG","Goods",2621283.0,"F"
202306,"Exports","00","MH","Goods",2623131.0,"F"
202306,"Exports","00","ML","Goods",21232.0,"F"
202306,"Exports","00","MM","Goods",534482.0,"F"
202306,"Exports","00","MN","Goods",3424818.0,"F"
202306,"Exports","00","MO","Goods",1778401.0,"F"
202306,"Exports","00","MP","Goods",877372.0,"F"
202306,"Exports","00","MQ","Goods",954865.0,"F"
202306,"Exports","00","MR","Goods",1004648.0,"F"
202306,"Exports","00","MT","Goods",1064017.0,"F"
202306,"Exports","00","MU","Goods",24897552.0,"F"
202306,"Exports","00","MV","Goods",4347451.0,"F"
202306,"Exports","00","MW","Goods",15142.0,"F"
202306,"Exports","00","MX","Goods",145741108.0,"F"
202306,"Exports","00","MY","Goods",312317759.0,"F"
202306,"Exports","00","MZ","Goods",1723692.0,"F"
202306,"Exports","00","NA","Goods",31532.0,"F"
202306,"Exports","00","NC","Goods",36036936.0,"F"
202306,"Exports","00","NF","Goods",180273.0,"F"
202306,"Exports","00","NG","Goods",55806539.0,"F"
202306,"Exports","00","NI","Goods",2319550.0,"F"
202306,"Exports","00","NL","Goods",327511471.0,"F"
202306,"Exports","00","NO","Goods",17427763.0,"F"
202306,"Exports","00","NP","Goods",5636272.0,"F"
202306,"Exports","00","NR","Goods",612923.0,"F"
202306,"Exports","00","NU","Goods",6238432.0,"F"
202306,"Exports","00","OM","Goods",31473088.0,"F"
202306,"Exports","00","PA","Goods",7895912.0,"F"
202306,"Exports","00","PE","Goods",29078254.0,"F"
202306,"Exports","00","PF","Goods",50442409.0,"F"
202306,"Exports","00","PG","Goods",49840013.0,"F"
202306,"Exports","00","PH","Goods",208900801.0,"F"
202306,"Exports","00","PK","Goods",5922034.0,"F"
202306,"Exports","00","PL","Goods",45713603.0,"F"
202306,"Exports","00","PN","Goods",1266968.0,"F"
202306,"Exports","00","PR","Goods",535062.0,"F"
202306,"Exports","00","PS","Goods",6253.0,"F"
202306,"Exports","00","PT","Goods",11646880.0,"F"
202306,"Exports","00","PW","Goods",523113.0,"F"
202306,"Exports","00","PY","Goods",100507.0,"F"
202306,"Exports","00","QA","Goods",7763905.0,"F"
202306,"Exports","00","RE","Goods",2579188.0,"F"
202306,"Exports","00","RO","Goods",3532072.0,"F"
202306,"Exports","00","RS","Goods",2168129.0,"F"
202306,"Exports","00","RU","Goods",10491272.0,"F"
202306,"Exports","00","RW","Goods",42522.0,"F"
202306,"Exports","00","SA","Goods",299884373.0,"F"
202306,"Exports","00","SB","Goods",8834590.0,"F"
202306,"Exports","00","SC","Goods",258363.0,"F"
202306,"Exports","00","SD","Goods",10552162.0,"F"
202306,"Exports","00","SE","Goods",28919258.0,"F"
202306,"Exports","00","SG","Goods",440630191.0,"F"
202306,"Exports","00","SH","Goods",3408.0,"F"
202306,"Exports","00","SI","Goods",1738914.0,"F"
202306,"Exports","00","SK","Goods",1999261.0,"F"
202306,"Exports","00","SL","Goods",2079929.0,"F"
202306,"Exports","00","SN","Goods",6816492.0,"F"
202306,"Exports","00","SO","Goods",193645.0,"F"
202306,"Exports","00","SV","Goods",13979370.0,"F"
202306,"Exports","00","SX","Goods",2699570.0,"F"
202306,"Exports","00","SY","Goods",5008421.0,"F"
202306,"Exports","00","SZ","Goods",2904.0,"F"
202306,"Exports","00","TC","Goods",119700.0,"F"
202306,"Exports","00","TG","Goods",1221960.0,"F"
202306,"Exports","00","TH","Goods",329202191.0,"F"
202306,"Exports","00","TK","Goods",14100.0,"F"
202306,"Exports","00","TL","Goods",1383556.0,"F"
202306,"Exports","00","TN","Goods",2615623.0,"F"
202306,"Exports","00","TO","Goods",27482011.0,"F"
